id,risk_class,lat_bin,lon_bin,center_lat,center_lon
162,LOW,15,16,38.2208,26.765
163,LOW,15,17,38.2208,26.795
164,LOW,15,19,38.2208,26.855
165,HIGH,15,21,38.2208,26.915
166,HIGH,15,22,38.2208,26.945
167,HIGH,15,23,38.2208,26.975
168,HIGH,15,24,38.2208,27.005
169,LOW,15,28,38.2208,27.125
170,HIGH,15,30,38.2208,27.185
171,HIGH,15,31,38.2208,27.215
172,HIGH,15,32,38.2208,27.245
173,LOW,15,33,38.2208,27.275
174,HIGH,15,34,38.2208,27.305
175,LOW,15,35,38.2208,27.335
176,LOW,15,36,38.2208,27.365
177,LOW,15,37,38.2208,27.395
178,LOW,15,40,38.2208,27.485
179,HIGH,15,43,38.2208,27.575
180,LOW,15,46,38.2208,27.665
181,HIGH,15,51,38.2208,27.815
182,LOW,15,52,38.2208,27.845
183,HIGH,15,54,38.2208,27.905
184,LOW,15,56,38.2208,27.965
185,HIGH,16,1,38.2408,26.315
186,HIGH,16,2,38.2408,26.345
187,HIGH,16,4,38.2408,26.405
188,HIGH,16,5,38.2408,26.435
189,HIGH,16,6,38.2408,26.465
190,HIGH,16,7,38.2408,26.495
191,HIGH,16,13,38.2408,26.675
192,HIGH,16,18,38.2408,26.825
193,LOW,16,19,38.2408,26.855
194,HIGH,16,22,38.2408,26.945
195,HIGH,16,23,38.2408,26.975
196,HIGH,16,24,38.2408,27.005
197,HIGH,16,25,38.2408,27.035
198,HIGH,16,26,38.2408,27.065
199,LOW,16,30,38.2408,27.185
200,LOW,16,33,38.2408,27.275
201,LOW,16,34,38.2408,27.305
202,LOW,16,35,38.2408,27.335
203,LOW,16,36,38.2408,27.365
204,LOW,16,49,38.2408,27.755
205,HIGH,16,53,38.2408,27.875
206,HIGH,16,54,38.2408,27.905
207,HIGH,16,58,38.2408,28.025
208,LOW,17,2,38.2608,26.345
209,HIGH,17,4,38.2608,26.405
210,HIGH,17,5,38.2608,26.435
211,HIGH,17,6,38.2608,26.465
212,HIGH,17,7,38.2608,26.495
213,LOW,17,10,38.2608,26.585
214,LOW,17,15,38.2608,26.735
215,HIGH,17,22,38.2608,26.945
216,HIGH,17,23,38.2608,26.975
217,HIGH,17,24,38.2608,27.005
218,HIGH,17,25,38.2608,27.035
219,HIGH,17,29,38.2608,27.155
220,LOW,17,30,38.2608,27.185
221,LOW,17,31,38.2608,27.215
222,LOW,17,32,38.2608,27.245
223,LOW,17,33,38.2608,27.275
224,LOW,17,49,38.2608,27.755
225,HIGH,17,53,38.2608,27.875
226,HIGH,17,54,38.2608,27.905
227,HIGH,17,55,38.2608,27.935
228,HIGH,17,59,38.2608,28.055
229,LOW,17,70,38.2608,28.385
230,LOW,18,0,38.2808,26.285
231,LOW,18,4,38.2808,26.405
232,HIGH,18,5,38.2808,26.435
233,HIGH,18,6,38.2808,26.465
234,HIGH,18,7,38.2808,26.495
235,LOW,18,10,38.2808,26.585
236,HIGH,18,11,38.2808,26.615
237,HIGH,18,16,38.2808,26.765
238,HIGH,18,24,38.2808,27.005
239,HIGH,18,25,38.2808,27.035
240,HIGH,18,26,38.2808,27.065
241,LOW,18,28,38.2808,27.125
242,LOW,18,29,38.2808,27.155
243,HIGH,18,30,38.2808,27.185
244,HIGH,18,31,38.2808,27.215
245,HIGH,18,32,38.2808,27.245
246,HIGH,18,35,38.2808,27.335
247,LOW,18,36,38.2808,27.365
248,LOW,18,49,38.2808,27.755
249,HIGH,18,50,38.2808,27.785
250,LOW,18,51,38.2808,27.815
251,HIGH,18,53,38.2808,27.875
252,HIGH,18,54,38.2808,27.905
253,HIGH,18,55,38.2808,27.935
254,LOW,18,57,38.2808,27.995
255,HIGH,18,64,38.2808,28.205
256,LOW,19,1,38.3008,26.315
257,LOW,19,4,38.3008,26.405
258,LOW,19,5,38.3008,26.435
259,HIGH,19,6,38.3008,26.465
260,HIGH,19,7,38.3008,26.495
261,HIGH,19,13,38.3008,26.675
262,LOW,19,14,38.3008,26.705
263,HIGH,19,17,38.3008,26.795
264,LOW,19,19,38.3008,26.855
265,HIGH,19,24,38.3008,27.005
266,HIGH,19,25,38.3008,27.035
267,LOW,19,26,38.3008,27.065
268,HIGH,19,27,38.3008,27.095
269,HIGH,19,28,38.3008,27.125
270,HIGH,19,30,38.3008,27.185
271,HIGH,19,31,38.3008,27.215
272,HIGH,19,32,38.3008,27.245
273,HIGH,19,50,38.3008,27.785
274,HIGH,19,51,38.3008,27.815
275,HIGH,19,53,38.3008,27.875
276,HIGH,19,54,38.3008,27.905
277,HIGH,20,5,38.3208,26.435
278,HIGH,20,6,38.3208,26.465
279,HIGH,20,7,38.3208,26.495
280,HIGH,20,11,38.3208,26.615
281,HIGH,20,12,38.3208,26.645
282,LOW,20,17,38.3208,26.795
283,LOW,20,23,38.3208,26.975
284,HIGH,20,30,38.3208,27.185
285,HIGH,20,31,38.3208,27.215
286,HIGH,20,32,38.3208,27.245
287,HIGH,20,50,38.3208,27.785
288,HIGH,20,51,38.3208,27.815
289,LOW,20,52,38.3208,27.845
290,HIGH,20,54,38.3208,27.905
291,HIGH,21,5,38.3408,26.435
292,HIGH,21,6,38.3408,26.465
293,HIGH,21,7,38.3408,26.495
294,HIGH,21,8,38.3408,26.525
295,LOW,21,16,38.3408,26.765
296,HIGH,21,20,38.3408,26.885
297,HIGH,21,27,38.3408,27.095
298,HIGH,21,28,38.3408,27.125
299,HIGH,21,29,38.3408,27.155
300,HIGH,21,30,38.3408,27.185
