grid_id,latitude,longitude,burnable,lc_group,clc_code,fire_probability,high_fire_probability,combined_risk_score,predicted_risk_class
44,37.9208,27.575,0,NO_DATA,-128,0.0265340255439293,0.1287578954542194,0.0034164652869648,SAFE_UNBURNABLE
45,37.9208,27.605,0,NO_DATA,-128,0.0256339877184629,0.1280799010134511,0.0032831986095607,SAFE_UNBURNABLE
46,37.9208,27.635,0,NO_DATA,-128,0.0247637026725765,0.1274049545898281,0.0031550184144756,SAFE_UNBURNABLE
47,37.9208,27.665,0,NO_DATA,-128,0.0239222387679263,0.1267330479747288,0.0030317382334385,SAFE_UNBURNABLE
48,37.9208,27.695,0,NO_DATA,-128,0.0231086900606252,0.1260641729222676,0.0029131778998097,SAFE_UNBURNABLE
49,37.9208,27.725,0,NO_DATA,-128,0.0223221758304439,0.1253983211500666,0.0027991633735542,SAFE_UNBURNABLE
50,37.9208,27.755,0,NO_DATA,-128,0.0215618401009748,0.124735484340019,0.0026895265682571,SAFE_UNBURNABLE
51,37.9208,27.785,0,NO_DATA,-128,0.0208268511524749,0.1240756541390496,0.0025841051803999,SAFE_UNBURNABLE
52,37.9208,27.815,0,NO_DATA,-128,0.0201164010289873,0.1234188221598702,0.0024827425210932,SAFE_UNBURNABLE
53,37.9208,27.845,0,NO_DATA,-128,0.0194297050412149,0.1227649799817289,0.0023852873504356,SAFE_UNBURNABLE
54,37.9208,27.875,0,NO_DATA,-128,0.0187660012665106,0.1221141191511547,0.0022915937146493,SAFE_UNBURNABLE
55,37.9208,27.905,0,NO_DATA,-128,0.0181245500472391,0.1214662311826972,0.0022015207861203,SAFE_UNBURNABLE
56,37.9208,27.935,0,NO_DATA,-128,0.0175046334886639,0.1208213075596609,0.002114932706453,SAFE_UNBURNABLE
57,37.9208,27.965,0,NO_DATA,-128,0.0169055549574148,0.1201793397348343,0.002031698432633,SAFE_UNBURNABLE
58,37.9208,27.995,0,NO_DATA,-128,0.0163266385815033,0.1195403191312139,0.0019516915863729,SAFE_UNBURNABLE
59,37.9208,28.025,0,NO_DATA,-128,0.0157672287527703,0.1189042371427238,0.0018747903067029,SAFE_UNBURNABLE
60,37.9208,28.055,0,NO_DATA,-128,0.0152266896325613,0.118271085134927,0.0018008771058557,SAFE_UNBURNABLE
61,37.9208,28.085,0,NO_DATA,-128,0.0147044046613607,0.117640854445736,0.0017298387284783,SAFE_UNBURNABLE
62,37.9208,28.115,0,NO_DATA,-128,0.0141997760730338,0.1170135363861152,0.0016615660141966,SAFE_UNBURNABLE
63,37.9208,28.145,0,NO_DATA,-128,0.0137122244142701,0.1163891222407771,0.0015959537635454,SAFE_UNBURNABLE
64,37.9208,28.175,0,NO_DATA,-128,0.0132411880697518,0.1157676032688774,0.0015329006072676,SAFE_UNBURNABLE
65,37.9208,28.205,0,NO_DATA,-128,0.0127861227935181,0.1151489707046998,0.0014723088789775,SAFE_UNBURNABLE
66,37.9208,28.235,0,NO_DATA,-128,0.0123465012469369,0.1145332157583387,0.001414084491176,SAFE_UNBURNABLE
67,37.9208,28.265,0,NO_DATA,-128,0.0119218125436516,0.1139203296163759,0.0013581368145974,SAFE_UNBURNABLE
68,37.9208,28.295,0,NO_DATA,-128,0.0115115618018188,0.1133103034425521,0.0013043785608617,SAFE_UNBURNABLE
69,37.9208,28.325,0,NO_DATA,-128,0.0111152697039133,0.1127031283784313,0.001252725668401,SAFE_UNBURNABLE
70,37.9208,28.355,0,NO_DATA,-128,0.0107324720643303,0.1120987955440625,0.0012030971916217,SAFE_UNBURNABLE
71,37.9208,28.385,0,NO_DATA,-128,0.0103627194049874,0.1114972960386349,0.0011554151932631,SAFE_UNBURNABLE
72,37.9408,26.285,0,NO_DATA,-128,0.1092686778451274,0.1611531494783895,0.0176089915740818,SAFE_UNBURNABLE
73,37.9408,26.315,0,NO_DATA,-128,0.1058674707564414,0.1603359653492879,0.0169743631228215,SAFE_UNBURNABLE
74,37.9408,26.345,0,NO_DATA,-128,0.1025599431321108,0.1595221370179887,0.0163605813008777,SAFE_UNBURNABLE
75,37.9408,26.375,0,NO_DATA,-128,0.0993442686401438,0.158711658694707,0.0157670936576897,SAFE_UNBURNABLE
76,37.9408,26.405,0,NO_DATA,-128,0.0962186088622335,0.1579045245148098,0.0151933536818674,SAFE_UNBURNABLE
77,37.9408,26.435,0,NO_DATA,-128,0.0931811170158458,0.1571007285397633,0.0146388213693383,SAFE_UNBURNABLE
78,37.9408,26.465,0,NO_DATA,-128,0.09022994146561,0.1563002647580719,0.0141029637401801,SAFE_UNBURNABLE
79,37.9408,26.495,0,NO_DATA,-128,0.0873632290270749,0.1555031270862199,0.0135852553060597,SAFE_UNBURNABLE
80,37.9408,26.525,0,NO_DATA,-128,0.0845791280665846,0.1547093093696064,0.0130851784902648,SAFE_UNBURNABLE
81,37.9408,26.555,0,NO_DATA,-128,0.0818757914016738,0.1539188053834793,0.0126022240023725,SAFE_UNBURNABLE
82,37.9408,26.585,0,NO_DATA,-128,0.0792513790068398,0.1531316088338656,0.0121358911696198,SAFE_UNBURNABLE
83,37.9408,26.615,0,NO_DATA,-128,0.076704060530069,0.1523477133584991,0.0116856882270679,SAFE_UNBURNABLE
84,37.9408,26.645,0,NO_DATA,-128,0.0742320176258005,0.1515671125277436,0.0112511325686511,SAFE_UNBURNABLE
85,37.9408,26.675,0,NO_DATA,-128,0.0718334461103877,0.150789799845516,0.010831750961199,SAFE_UNBURNABLE
86,37.9408,26.705,0,NO_DATA,-128,0.0695065579463031,0.1500157687502014,0.010427079723495,SAFE_UNBURNABLE
87,37.9408,26.735,0,NO_DATA,-128,0.0672495830615757,0.1492450126155694,0.0100366648724166,SAFE_UNBURNABLE
88,37.9408,26.765,0,NO_DATA,-128,0.0650607710110559,0.148477524751684,0.0096600622381577,SAFE_UNBURNABLE
89,37.9408,26.795,0,NO_DATA,-128,0.062938392486201,0.1477132984058117,0.0092968375504963,SAFE_UNBURNABLE
90,37.9408,26.825,0,NO_DATA,-128,0.0608807406801254,0.1469523267633242,0.008946566498019,SAFE_UNBURNABLE
91,37.9408,26.855,0,NO_DATA,-128,0.0588861325146717,0.1461946029485992,0.008608834762161,SAFE_UNBURNABLE
92,37.9408,26.885,0,NO_DATA,-128,0.05695290973622,0.1454401200259175,0.008283238027861,SAFE_UNBURNABLE
93,37.9408,26.915,0,NO_DATA,-128,0.0550794398868931,0.1446888710003538,0.0079693819725664,SAFE_UNBURNABLE
94,37.9408,26.945,0,NO_DATA,-128,0.0532641171577531,0.1439408488186676,0.0076668822352639,SAFE_UNBURNABLE
95,37.9408,26.975,0,NO_DATA,-128,0.051505363130436,0.1431960463701863,0.0073753643671392,SAFE_UNBURNABLE
96,37.9408,27.005,0,NO_DATA,-128,0.0498016274135773,0.1424544564876873,0.0070944637654034,SAFE_UNBURNABLE
97,37.9408,27.035,0,NO_DATA,-128,0.0481513881802081,0.1417160719482741,0.0068238255917556,SAFE_UNBURNABLE
98,37.9408,27.065,0,NO_DATA,-128,0.0465531526121418,0.1409808854742505,0.0065631046768776,SAFE_UNBURNABLE
99,37.9408,27.095,0,NO_DATA,-128,0.0450054572572002,0.1402488897339872,0.0063119654122927,SAFE_UNBURNABLE
100,37.9408,27.125,0,NO_DATA,-128,0.0435068683049399,0.1395200773427879,0.0060700816308477,SAFE_UNBURNABLE
101,37.9408,27.155,0,NO_DATA,-128,0.0420559817863341,0.1387944408637497,0.0058371364770102,SAFE_UNBURNABLE
102,37.9408,27.185,0,NO_DATA,-128,0.040651423702684,0.1380719728086178,0.0056128222681085,SAFE_UNBURNABLE
