center_lat,center_lon,burnable,lc_group,clc_code,fire_prob,high_given_fire_prob,high_risk_score,predicted_risk
37.9208,26.285,0,NO_DATA,-128,0.11117256680993319,0.16090424019625693,0.01788813739321991,SAFE_UNBURNABLE
37.9208,26.315,0,NO_DATA,-128,0.10771926415897999,0.16008807737106845,0.01724456989503735,SAFE_UNBURNABLE
37.9208,26.345,0,NO_DATA,-128,0.10436063508103179,0.159275268590645,0.016622068182821626,SAFE_UNBURNABLE
37.9208,26.375,0,NO_DATA,-128,0.10109486152114172,0.15846580804233568,0.016020078919875752,SAFE_UNBURNABLE
37.9208,26.405,0,NO_DATA,-128,0.09792011120849932,0.1576596898389302,0.015438054362125555,SAFE_UNBURNABLE
37.9208,26.435,0,NO_DATA,-128,0.09483454149500736,0.15685690801960328,0.014875452952363621,SAFE_UNBURNABLE
37.9208,26.465,0,NO_DATA,-128,0.0918363029817863,0.15605745655085457,0.014331739862371231,SAFE_UNBURNABLE
37.9208,26.495,0,NO_DATA,-128,0.08892354293625589,0.15526132932744796,0.013806387484789484,SAFE_UNBURNABLE
37.9208,26.525,0,NO_DATA,-128,0.08609440850322352,0.154468520173347,0.013298875876692559,SAFE_UNBURNABLE
37.9208,26.555,0,NO_DATA,-128,0.08334704971399094,0.153679022842647,0.01280869315686365,SAFE_UNBURNABLE
37.9208,26.585,0,NO_DATA,-128,0.08067962229813312,0.15289283102050477,0.012335335858826617,SAFE_UNBURNABLE
37.9208,26.615,0,NO_DATA,-128,0.07809029030301841,0.15210993832406583,0.011878309241700526,SAFE_UNBURNABLE
37.9208,26.645,0,NO_DATA,-128,0.07557722852662489,0.15133033830338594,0.011437127560966456,SAFE_UNBURNABLE
37.9208,26.675,0,NO_DATA,-128,0.073138624769486,0.15055402444235277,0.011011314301225263,SAFE_UNBURNABLE
37.9208,26.705,0,NO_DATA,-128,0.0707726819119382,0.14978099015960178,0.010600402373020642,SAFE_UNBURNABLE
37.9208,26.735,0,NO_DATA,-128,0.06847761982302877,0.14901122880942952,0.010203934275774467,SAFE_UNBURNABLE
37.9208,26.765,0,NO_DATA,-128,0.06625167710760978,0.14824473368270374,0.009821462228850091,SAFE_UNBURNABLE
37.9208,26.795,0,NO_DATA,-128,0.06409311269829257,0.14748149800776966,0.009452548272724992,SAFE_UNBURNABLE
37.9208,26.825,0,NO_DATA,-128,0.06200020729895653,0.1467215149513521,0.00909676434220078,SAFE_UNBURNABLE
37.9208,26.855,0,NO_DATA,-128,0.05997126468659044,0.1459647776194548,0.008753692313535637,SAFE_UNBURNABLE
37.9208,26.885,0,NO_DATA,-128,0.05800461287818111,0.14521127905825637,0.008422924027319688,SAFE_UNBURNABLE
37.9208,26.915,0,NO_DATA,-128,0.05609860516937582,0.14446101225500085,0.008104061288861654,SAFE_UNBURNABLE
37.9208,26.945,0,NO_DATA,-128,0.05425162105152153,0.1437139701388852,0.007796715847784482,SAFE_UNBURNABLE
37.9208,26.975,0,NO_DATA,-128,0.052462067013631986,0.14297014558194387,0.007500509358468661,SAFE_UNBURNABLE
